"Reference period","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]","All industries  [T001] 4","Goods-producing industries  [T002] 4","Service-producing industries  [T003] 4","Business sector industries  [T004]","Non-business sector industries  [T007]","Industrial production  [T010] 4","Non-durable manufacturing industries  [T011] 4","Durable manufacturing industries  [T012] 4","Information and communication technology sector  [T013] 4","Energy sector  [T016] 4","Industrial production (1950 definition)  [T017] 4","Public Sector  [T018] 4","Content and media sector  [T019] 4","All industries (except cannabis sector)  [T020] 4","Cannabis sector  [T021] 4","All industries (except unlicensed cannabis sector)  [T024] 4","Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]","Utilities  [22]","Construction  [23]","Manufacturing  [31-33]","Wholesale trade  [41]","Retail trade  [44-45]","Transportation and warehousing  [48-49]","Information and cultural industries  [51]","Finance and insurance  [52]","Real estate and rental and leasing  [53]","Professional, scientific and technical services  [54]","Management of companies and enterprises  [55]","Administrative and support, waste management and remediation services  [56]","Educational services  [61]","Health care and social assistance  [62]","Arts, entertainment and recreation  [71]","Accommodation and food services  [72]","Other services (except public administration)  [81]","Public administration  [91]"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 2020","1,928,236","551,665","1,373,488","1,583,128","345,263","372,221","88,655","96,328","102,684","165,306","365,425","373,768","12,463","1,920,231","9,406","1,923,799","43,371","138,731","41,741","143,144","185,060","106,263","104,790","70,892","66,768","146,110","261,664","123,127","3,438","47,183","101,847","137,622","8,559","28,876","34,177","134,206","1,937,308","559,426","1,377,882","1,591,208","346,100","377,918","88,818","97,815","101,698","168,353","371,229","374,301","12,950","1,928,121","9,187","1,933,487","44,187","142,999","41,597","144,010","186,633","106,799","105,221","70,114","67,397","147,110","260,697","123,772","3,459","47,218","102,001","137,706","8,582","28,851","34,361","134,594"
"November 2020","1,941,301","557,894","1,380,507","1,595,833","345,795","379,900","90,619","98,292","103,266","168,786","373,005","374,884","12,412","1,933,118","9,778","1,936,842","43,180","143,275","41,388","142,271","188,992","106,705","105,940","71,842","66,970","148,144","261,511","123,995","3,403","47,632","102,065","138,566","8,304","28,929","34,428","134,154","1,952,556","567,350","1,385,206","1,605,934","346,622","386,833","90,554","99,767","102,286","171,482","380,055","375,467","12,734","1,942,997","9,559","1,948,747","44,027","148,478","41,256","143,268","190,321","107,532","106,308","71,207","67,434","149,019","260,672","124,580","3,455","47,656","102,203","138,702","8,317","28,890","34,669","134,562"
"December 2020","1,941,070","562,417","1,376,161","1,593,528","347,803","382,791","89,114","98,524","102,545","169,920","375,868","377,145","12,363","1,932,697","10,249","1,936,596","42,876","148,721","41,489","144,134","187,696","105,796","100,244","72,380","66,938","147,995","263,899","123,784","3,403","48,081","102,675","139,255","8,140","25,959","34,376","135,115","1,953,976","573,476","1,380,500","1,605,342","348,634","391,233","89,214","99,893","101,676","173,310","384,416","377,591","12,708","1,943,970","10,006","1,950,180","43,710","153,942","41,367","145,350","189,107","106,797","100,701","71,437","67,424","149,096","262,823","124,367","3,470","48,147","102,795","139,295","8,134","25,911","34,602","135,501"
"January 2021","1,950,707","567,469","1,380,917","1,601,780","349,259","387,890","89,384","100,024","104,590","172,583","381,093","379,270","12,148","1,942,539","10,085","1,946,201","42,004","153,082","41,364","144,871","189,445","107,281","99,623","72,064","66,741","148,407","265,527","124,574","3,310","48,073","103,136","140,925","7,805","25,970","34,170","135,096","1,964,605","578,464","1,386,141","1,614,452","350,153","396,490","89,712","101,527","103,591","175,912","389,779","379,874","12,514","1,954,748","9,857","1,960,829","42,712","157,303","41,237","145,973","191,239","108,283","100,179","71,504","67,331","149,507","264,313","125,329","3,380","48,200","103,283","141,051","7,820","25,991","34,430","135,540"
"February 2021","1,953,770","564,169","1,386,915","1,602,856","351,057","381,149","87,335","98,084","103,550","170,873","374,414","381,335","12,241","1,945,505","10,008","1,949,249","41,460","149,750","41,753","148,259","185,451","104,971","104,373","70,866","66,968","148,432","266,161","125,149","3,252","47,516","103,407","142,053","7,928","27,725","34,216","135,747","1,965,736","573,424","1,392,312","1,613,738","351,998","388,697","87,572","99,670","102,687","173,311","382,048","381,940","12,599","1,955,959","9,777","1,961,980","41,973","153,296","41,510","149,403","187,242","105,895","105,000","70,402","67,523","149,698","264,883","125,969","3,295","47,620","103,547","142,160","7,935","27,692","34,460","136,233"
"March 2021","1,976,893","570,517","1,403,612","1,622,511","354,474","383,781","88,475","99,704","103,218","170,206","376,998","384,940","12,313","1,968,356","10,200","1,972,423","40,883","149,872","41,188","152,285","188,206","107,262","109,961","71,691","67,002","148,310","266,642","125,508","3,174","47,279","104,979","142,597","8,106","31,332","34,339","137,265","1,988,824","580,146","1,408,678","1,633,411","355,413","391,665","88,722","101,106","102,428","173,252","384,991","385,541","12,684","1,978,863","9,961","1,985,081","41,359","154,137","41,026","153,796","189,828","108,069","110,283","71,100","67,559","149,982","265,387","126,282","3,152","47,330","105,079","142,690","8,128","31,331","34,534","137,772"
"April 2021","1,956,322","568,512","1,385,378","1,605,110","351,191","380,215","88,592","97,379","103,730","168,105","373,409","382,124","12,289","1,947,599","10,315","1,951,931","40,676","148,904","40,863","153,820","186,033","106,412","101,573","70,895","67,169","146,940","265,164","125,474","3,112","47,436","101,092","144,066","8,079","28,431","34,369","136,715","1,968,761","577,506","1,391,255","1,616,620","352,141","387,839","88,816","98,823","102,954","170,865","381,164","382,703","12,667","1,958,686","10,075","1,965,040","41,083","152,727","40,798","155,259","187,639","107,463","101,989","70,294","67,759","148,469","264,362","126,347","3,104","47,531","101,255","144,222","8,098","28,486","34,650","137,226"
"May 2021","1,945,862","561,029","1,382,074","1,590,993","354,476","378,926","87,676","95,679","103,964","170,131","372,180","385,268","12,424","1,937,036","10,392","1,941,562","40,015","150,005","41,641","148,618","183,426","105,500","98,678","70,437","67,393","146,863","264,404","125,646","3,031","47,009","103,697","144,723","7,991","27,184","34,316","136,676","1,957,087","570,019","1,387,068","1,601,624","355,463","386,374","88,095","97,069","103,115","173,831","379,764","385,877","12,796","1,946,935","10,152","1,953,388","40,424","153,057","41,543","149,831","185,164","106,259","99,215","69,519","67,921","148,381","263,686","126,335","2,997","47,050","103,811","144,839","8,037","27,156","34,635","137,227"
"June 2021","1,963,370","565,906","1,394,650","1,605,931","357,049","387,638","88,832","98,635","103,866","175,190","380,860","387,835","12,562","1,954,283","10,631","1,959,115","39,262","153,042","43,113","146,015","187,517","103,440","103,797","70,622","67,702","147,713","263,830","126,021","2,955","47,049","104,477","145,264","8,502","32,158","34,619","137,926","1,976,359","576,380","1,399,979","1,618,266","358,093","396,152","88,915","100,188","103,046","178,488","389,506","388,499","12,939","1,965,979","10,380","1,972,695","39,554","157,439","42,964","147,320","189,103","104,250","104,385","70,078","68,207","149,118","263,239","126,599","2,931","47,083","104,609","145,368","8,559","32,072","34,959","138,522"
"July 2021","1,969,923","561,158","1,405,403","1,610,879","358,596","386,680","88,839","96,212","104,376","175,105","379,819","389,607","12,849","1,960,775","10,620","1,965,703","37,360","157,485","41,558","144,231","185,134","102,332","103,337","71,852","68,271","149,102","264,007","127,189","2,900","47,407","105,408","145,717","9,347","35,931","35,550","138,335","1,983,127","572,583","1,410,544","1,623,463","359,664","396,853","89,125","97,771","103,544","178,946","390,110","390,293","13,238","1,972,773","10,354","1,979,496","37,357","161,758","41,456","145,116","186,896","103,102","103,908","71,390","68,765","150,365","263,462","127,770","2,900","47,472","105,536","145,849","9,414","35,905","35,798","138,908"
