Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
,,,2021,3.2,x,2.9,1.6,0.2,1.2,0.2,1.3,0.5,0.5,0.3,0.2
,,15 to 24 years,2019,0.5,x,0.4,x,x,x,x,0.3,x,0.2,x,x
,,,2020,1,0.2,0.8,0.2,x,x,x,0.6,x,0.5,x,x
,,,2021,0.8,x,0.7,0.2,x,x,x,0.5,x,0.4,x,x
,,25 years and over,2019,2.3,x,1.9,1.4,0.2,1.1,x,0.6,0.4,x,x,0.2
,,,2020,3.3,0.7,2.4,1.6,x,1.4,x,0.8,0.5,x,0.2,0.2
,,,2021,2.4,x,2.2,1.4,x,1,0.2,0.8,0.5,x,0.2,x
,,25 to 54 years,2019,1.5,x,1.3,0.8,x,0.6,x,0.4,0.3,x,x,x
,,,2020,2.4,0.5,1.7,1,x,0.9,x,0.7,0.5,x,x,0.2
,,,2021,1.6,x,1.4,0.8,x,0.7,x,0.6,0.4,x,x,x
,,55 years and over,2019,0.8,x,0.7,0.5,x,0.4,x,x,x,x,x,x
,,,2020,0.9,0.2,0.7,0.6,x,0.5,x,x,x,x,x,x
,,,2021,0.9,x,0.8,0.5,x,0.3,x,0.2,x,x,x,x
,,55 to 64 years,2019,0.7,x,0.5,0.4,x,0.3,x,x,x,x,x,x
,,,2020,0.7,x,0.5,0.4,x,0.4,x,x,x,x,x,x
,,,2021,0.6,x,0.6,0.4,x,0.3,x,0.2,x,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.3,x,0.2,x,x,x,x,x,x,x,x,x
,,,2021,0.2,x,0.2,x,x,x,x,x,x,x,x,x
Nova Scotia,Males,15 years and over,2019,21.4,1.3,19,12,2,8.3,1.7,7,2.2,3.3,1.6,1
,,,2020,26,5.2,19.9,11.2,1.4,8.4,1.4,8.7,2.2,4.7,1.8,1
,,,2021,24.2,1.9,21.4,12.6,1.3,7.7,3.7,8.8,3,3.6,2.2,1
,,15 to 24 years,2019,5.5,x,4.9,1.9,x,1.3,x,3,x,2.4,x,x
,,,2020,7.2,1.1,5.8,1.9,x,1.5,x,3.9,0.5,3,x,x
,,,2021,5.7,x,5.1,1.9,x,1.3,x,3.3,x,2.7,x,x
,,25 years and over,2019,15.8,1.1,14.1,10.1,1.6,7,1.5,4,1.8,0.9,1.3,0.7
,,,2020,18.8,4.1,14.1,9.2,1.2,6.9,1.2,4.8,1.7,1.6,1.4,0.7
,,,2021,18.5,1.5,16.3,10.7,0.9,6.4,3.4,5.5,2.7,1,1.8,0.8
,,25 to 54 years,2019,11.1,0.6,10.1,7.1,1.3,4.9,1,3,1.3,0.8,0.9,x
,,,2020,12.9,2.8,9.6,6.1,0.8,4.7,0.5,3.5,1.1,1.6,0.8,0.6
,,,2021,12.8,0.9,11.4,7.1,0.7,4.3,2.1,4.2,2.1,1,1.2,0.5
,,55 years and over,2019,4.7,0.5,3.9,3,x,2.1,0.6,1,0.6,x,x,x
,,,2020,5.9,1.3,4.4,3.2,x,2.2,0.6,1.3,0.6,x,0.6,x
,,,2021,5.7,0.5,4.9,3.6,x,2.1,1.3,1.3,0.7,x,0.7,x
,,55 to 64 years,2019,3.8,x,3.2,2.4,x,1.7,x,0.8,x,x,x,x
,,,2020,4.7,0.9,3.6,2.6,x,1.9,0.6,1.1,0.5,x,0.5,x
,,,2021,4.2,x,3.5,2.5,x,1.6,0.8,1,0.5,x,0.5,x
,,65 years and over,2019,0.9,x,0.8,0.6,x,x,x,x,x,x,x,x
,,,2020,1.2,x,0.8,0.6,x,x,x,x,x,x,x,x
,,,2021,1.5,x,1.4,1.1,x,0.5,0.5,x,x,x,x,x
,Females,15 years and over,2019,15.4,0.7,13.6,6,1.4,3.7,0.8,7.6,2.9,3.3,1.4,1.1
,,,2020,21.6,4.4,16.1,7.8,1.3,5.5,0.9,8.4,3.1,3.4,1.8,1
,,,2021,18.3,1,16.4,8.5,1.3,4.6,2.6,7.9,2.8,3.1,1.9,0.9
,,15 to 24 years,2019,4.8,x,4.4,0.8,x,x,x,3.5,x,2.9,x,x
,,,2020,5,0.9,3.7,0.7,x,0.5,x,3.1,x,2.7,x,x
,,,2021,4.3,x,3.9,0.8,x,0.6,x,3.1,x,2.5,x,x
,,25 years and over,2019,10.6,0.6,9.2,5.1,1.1,3.3,0.8,4.1,2.6,x,1.1,0.8
,,,2020,16.6,3.5,12.4,7.1,1.2,5,0.9,5.3,3,0.7,1.6,0.7
