Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
,,,2020,7.7,1.5,6,1.4,x,1,x,4.6,0.5,3.9,x,x
,,,2021,5.9,x,5.1,1,x,0.5,x,4.1,0.6,3.5,x,x
,,25 years and over,2019,10.8,x,9.9,4.1,1.2,2.2,0.7,5.8,4,0.6,1.2,0.7
,,,2020,17.3,4.8,11.6,6.2,0.9,4.3,1,5.4,3.6,0.8,1,0.9
,,,2021,15.2,1.3,13,6.3,0.9,3.6,1.8,6.6,4.4,0.8,1.5,1
,,25 to 54 years,2019,8.7,x,8.1,3.4,1.1,1.8,0.5,4.7,3.3,0.6,0.9,0.5
,,,2020,13.2,3.5,9,4.7,0.8,3.3,0.6,4.3,2.9,0.8,0.6,0.7
,,,2021,11.6,0.9,9.9,4.6,0.8,2.8,1.1,5.3,3.5,0.8,1,0.7
,,55 years and over,2019,2.1,x,1.8,0.8,x,0.5,x,1.1,0.7,x,x,x
,,,2020,4.1,1.3,2.6,1.5,x,1,x,1,0.6,x,x,x
,,,2021,3.6,x,3,1.7,x,0.9,0.7,1.4,0.8,x,0.5,x
,,55 to 64 years,2019,1.9,x,1.6,0.7,x,x,x,0.9,0.6,x,x,x
,,,2020,3.4,0.9,2.3,1.4,x,0.9,x,0.9,0.5,x,x,x
,,,2021,3.2,x,2.7,1.5,x,0.7,0.6,1.2,0.8,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.7,x,x,x,x,x,x,x,x,x,x,x
,,,2021,0.5,x,x,x,x,x,x,x,x,x,x,x
Saskatchewan,Males,15 years and over,2019,18.3,1.1,16.4,9,1.5,5.3,2.2,7.4,1.4,3.7,2.3,0.8
,,,2020,28.8,6.1,21.9,12.2,1.3,9.2,1.7,9.7,3,4.6,2.1,0.8
,,,2021,23.5,1.1,21.3,12.2,1.5,7.1,3.6,9.1,2.9,4.3,1.9,1.1
,,15 to 24 years,2019,5.6,x,5.2,1.3,x,0.8,x,3.9,x,3,0.5,x
,,,2020,8.5,1.4,6.9,1.9,x,1.4,x,5,0.6,4,0.5,x
,,,2021,6.1,x,5.4,1.4,x,0.9,x,4,x,3.2,x,x
,,25 years and over,2019,12.7,1,11.2,7.6,1,4.5,2.1,3.5,1.1,0.6,1.8,0.6
,,,2020,20.3,4.7,15,10.3,0.9,7.9,1.6,4.7,2.4,0.7,1.6,0.6
,,,2021,17.4,0.8,15.9,10.8,1.2,6.3,3.4,5.1,2.5,1.1,1.5,0.7
,,25 to 54 years,2019,9.8,0.6,8.7,5.8,0.8,3.5,1.5,2.9,0.8,0.6,1.4,0.5
,,,2020,15.6,3.6,11.6,8,0.7,6.3,1.1,3.6,1.8,0.7,1.1,x
,,,2021,12.4,0.5,11.3,7.4,0.9,4.3,2.2,3.9,1.8,1,1.1,0.5
,,55 years and over,2019,2.9,x,2.5,1.8,x,1,0.6,0.6,x,x,x,x
,,,2020,4.7,1.1,3.5,2.3,x,1.6,0.5,1.1,0.6,x,0.5,x
,,,2021,5,x,4.6,3.5,x,2,1.2,1.1,0.7,x,x,x
,,55 to 64 years,2019,2.3,x,1.8,1.4,x,0.7,x,0.5,x,x,x,x
,,,2020,3.6,0.7,2.7,1.9,x,1.3,x,0.8,x,x,x,x
,,,2021,4,x,3.7,2.7,x,1.6,0.9,1,0.6,x,x,x
,,65 years and over,2019,0.7,x,0.6,0.5,x,x,x,x,x,x,x,x
,,,2020,1.2,x,0.8,0.5,x,x,x,x,x,x,x,x
,,,2021,1.1,x,1,0.8,x,x,x,x,x,x,x,x
,Females,15 years and over,2019,15.3,x,13.8,5.6,1.3,3,1.3,8.3,3.2,3.5,1.5,1.1
,,,2020,21.1,4.4,15.6,6.2,1,4.6,0.6,9.4,3.6,4.5,1.3,1
,,,2021,15.4,0.5,14,5.8,1.1,2.9,1.8,8.2,4.1,3,1.1,1
,,15 to 24 years,2019,4.4,x,4.2,0.7,x,x,x,3.4,x,2.6,x,x
,,,2020,6.5,1.2,5,1,x,0.7,x,4.1,x,3.5,x,x
,,,2021,4,x,3.7,0.9,x,x,x,2.8,x,2.3,x,x
,,25 years and over,2019,10.9,x,9.7,4.8,1,2.6,1.3,4.9,2.7,1,1.1,0.9
,,,2020,14.5,3.2,10.6,5.3,0.8,3.9,0.6,5.3,3.2,1,1.1,0.7
,,,2021,11.5,x,10.3,4.9,0.7,2.5,1.7,5.4,3.7,0.7,1,0.7
,,25 to 54 years,2019,8.5,x,7.6,3.5,0.9,1.8,0.8,4.1,2.3,1,0.8,0.7
,,,2020,11.2,2.3,8.4,4,0.6,3,0.5,4.3,2.7,1,0.6,0.5
,,,2021,8.6,x,7.7,3.5,0.6,1.9,1.1,4.1,2.8,0.7,0.6,0.6
,,55 years and over,2019,2.3,x,2.1,1.3,x,0.8,0.5,0.8,0.5,x,x,x
,,,2020,3.3,0.9,2.2,1.2,x,0.9,x,1,0.5,x,0.5,x
,,,2021,2.9,x,2.6,1.4,x,0.6,0.7,1.2,0.9,x,x,x
,,55 to 64 years,2019,2,x,1.8,1.2,x,0.7,0.5,0.5,x,x,x,x
,,,2020,2.7,0.8,1.7,1,x,0.7,x,0.8,x,x,x,x
,,,2021,2.1,x,1.9,1,x,x,0.5,0.8,0.6,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.7,x,0.5,x,x,x,x,x,x,x,x,x
,,,2021,0.8,x,0.8,x,x,x,x,x,x,x,x,x
Alberta,Males,15 years and over,2019,100.9,3.9,94.3,52.8,8,34.6,10.2,41.4,9.1,21.6,10.8,2.7
,,,2020,153.3,21,129.3,77.5,8.6,55.3,13.6,51.8,16.4,25.3,10.1,3
,,,2021,115.9,4.7,109,65.3,5.7,35.5,24.1,43.7,12.5,20.3,10.9,2.2
,,15 to 24 years,2019,25.7,x,24.7,5.2,x,3.4,x,19.5,x,17.1,x,x
,,,2020,40.4,4.4,34.9,9.3,x,6.8,1.5,25.6,3.1,21.1,x,x
,,,2021,30,x,28.8,7.4,x,3.7,2.4,21.4,2.1,17.7,1.6,x
,,25 years and over,2019,75.2,3.7,69.5,47.6,6.7,31.2,9.6,21.9,7.9,4.4,9.6,2
,,,2020,112.9,16.6,94.5,68.2,7.7,48.4,12.1,26.2,13.3,4.2,8.7,1.9
,,,2021,85.9,4.1,80.2,57.8,4.3,31.8,21.7,22.4,10.4,2.6,9.4,1.6
,,25 to 54 years,2019,52.4,2.4,48.3,31.4,5.1,21.6,4.6,16.9,6.2,4.3,6.4,1.7
,,,2020,83.5,12.8,69.4,49.9,5.9,36.4,7.6,19.4,9.3,4.1,6.1,x
,,,2021,62.3,3.3,57.8,41.3,3.2,25,13,16.6,7.5,2.6,6.5,x
,,55 years and over,2019,22.9,x,21.2,16.2,1.6,9.7,5,5,1.7,x,3.2,x
,,,2020,29.4,3.8,25.1,18.3,1.8,12,4.5,6.8,4,x,2.6,x
,,,2021,23.6,x,22.4,16.6,x,6.8,8.6,5.8,2.9,x,2.9,x
,,55 to 64 years,2019,18.4,x,17,13.6,x,8.2,4.3,3.4,x,x,2.1,x
,,,2020,23.8,2.9,20.5,15.1,1.7,9.7,3.7,5.3,3,x,2.3,x
,,,2021,16.6,x,15.7,11.8,x,4.9,5.9,3.9,2,x,1.9,x
,,65 years and over,2019,4.5,x,4.2,2.6,x,1.5,x,1.6,x,x,x,x
,,,2020,5.6,x,4.6,3.2,x,2.3,x,x,x,x,x,x
,,,2021,7,x,6.7,4.8,x,1.9,2.7,1.9,x,x,x,x
,Females,15 years and over,2019,70.4,x,67,27.2,6,15.7,5.5,39.8,18.8,14.7,6.3,2.7
,,,2020,121.9,19.9,97.5,43.7,5.2,32,6.6,53.8,20.5,26.3,7.1,4.4
,,,2021,97.2,5,89.5,39.2,4.3,19.2,15.7,50.3,24.2,17.6,8.5,2.7
,,15 to 24 years,2019,16.7,x,15.7,3.4,x,2.4,x,12.3,x,10.4,x,x
,,,2020,36.9,5.4,30.5,7.3,x,5.2,x,23.1,2.6,19.2,x,x
,,,2021,20.9,x,19.5,4.9,x,2.8,x,14.6,x,13.1,x,x
,,25 years and over,2019,53.7,x,51.3,23.8,5.1,13.3,5.4,27.5,18,4.3,5.2,1.9
,,,2020,85.1,14.5,67,36.4,4,26.7,5.7,30.6,17.9,7,5.8,3.5
,,,2021,76.4,4.3,70.1,34.3,3.6,16.4,14.4,35.7,23.7,4.5,7.5,2
,,25 to 54 years,2019,41.4,x,39.4,16.5,3.4,9.9,3.1,22.8,15.2,4,3.7,1.7
,,,2020,66.2,12,51.3,25.2,3.1,18.7,3.5,26.1,15.6,6.8,3.7,3
,,,2021,56.9,3.2,52.1,22.6,2.6,11.8,8.2,29.6,20.8,4.4,4.4,1.6
,,55 years and over,2019,12.2,x,11.9,7.3,1.6,3.4,2.2,4.7,2.8,x,1.6,x
,,,2020,18.8,2.5,15.8,11.2,x,8.1,2.2,4.6,2.3,x,2,x
,,,2021,19.5,x,17.9,11.7,x,4.7,6.2,6.2,2.9,x,3.2,x
,,55 to 64 years,2019,10.9,x,10.6,6.8,1.6,3.1,2.1,3.9,2.2,x,x,x
,,,2020,16.8,2.1,14.2,10.4,x,7.7,1.7,3.8,1.8,x,1.8,x
,,,2021,16,x,15.1,10.1,x,4.2,5,5,2.7,x,2.2,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,2,x,1.6,x,x,x,x,x,x,x,x,x
,,,2021,3.5,x,2.8,1.6,x,x,x,x,x,x,x,x
British Columbia,Males,15 years and over,2019,68.1,3,62,31,8.3,18.4,4.3,30.9,8.3,13.3,9.3,3.1
,,,2020,129,21.6,103.9,48.2,8.5,33.9,5.8,55.7,19.7,23.1,12.9,3.6
,,,2021,98.9,4.6,91.2,47,6.1,24.6,16.3,44.2,15.8,19.3,9.1,3.1
,,15 to 24 years,2019,20.2,x,18.7,4.7,1.7,2.7,x,14,x,10.5,2.5,x
,,,2020,37.4,4.3,32.2,7.5,2.1,5.1,x,24.7,3,19,2.8,x
,,,2021,25.2,x,23.8,4.9,x,2.9,x,18.9,2.7,14.9,x,x
,,25 years and over,2019,47.8,2.6,43.3,26.3,6.6,15.7,4,17,7.3,2.8,6.8,1.9
,,,2020,91.6,17.2,71.7,40.8,6.4,28.9,5.4,30.9,16.7,4.1,10.1,2.7
,,,2021,73.7,3.8,67.4,42.1,4.8,21.8,15.6,25.3,13.2,4.4,7.7,2.5
,,25 to 54 years,2019,33.8,1.8,30.6,18.9,5.1,11.8,2,11.7,5,2.5,4.2,x
,,,2020,66.9,12.6,52,28.7,4.1,21.9,2.7,23.3,12.1,4,7.2,2.3
,,,2021,50,3,45,27,2.7,14.8,9.5,18,8.8,4.1,5.1,2
,,55 years and over,2019,14.1,x,12.7,7.4,1.5,3.9,2,5.3,2.3,x,2.7,x
,,,2020,24.8,4.6,19.7,12.1,2.3,7,2.7,7.7,4.6,x,3,x
,,,2021,23.7,x,22.4,15.1,2,7,6,7.3,4.3,x,2.6,x
,,55 to 64 years,2019,12.2,x,10.9,6.5,x,3.5,1.8,4.4,2.2,x,2.1,x
,,,2020,18.1,3,14.7,9.2,1.7,5.3,2.1,5.5,3.5,x,1.8,x
,,,2021,17.8,x,16.7,11.8,x,5.5,5,4.9,2.9,x,1.6,x
,,65 years and over,2019,1.9,x,1.8,x,x,x,x,x,x,x,x,x
,,,2020,6.7,1.6,5.1,2.9,x,1.7,x,2.2,x,x,x,x
,,,2021,5.9,x,5.7,3.3,x,1.5,x,2.4,x,x,x,x
,Females,15 years and over,2019,63.6,x,59,19.6,6.3,10.6,2.7,39.5,18,13.5,8,3.9
,,,2020,115.2,24.6,85.9,33.3,6.7,24.8,1.7,52.7,20.8,23.4,8.5,4.6
,,,2021,86.7,3.3,80,29.9,5.5,13.8,10.6,50.1,21.5,21.1,7.6,3.4
,,15 to 24 years,2019,16.3,x,15.4,2.9,x,1.5,x,12.4,x,10.1,x,x
,,,2020,30.6,4.9,24.4,3.9,x,2.4,x,20.5,1.9,16.9,1.6,x
,,,2021,23.3,x,21.7,4.6,1.9,2.2,x,17.1,1.6,15,x,x
,,25 years and over,2019,47.3,x,43.7,16.6,4.9,9.2,2.6,27.1,17,3.4,6.6,3.1
,,,2020,84.6,19.7,61.6,29.4,5.4,22.4,1.6,32.2,18.8,6.5,6.8,3.4
,,,2021,63.4,2.6,58.3,25.3,3.6,11.6,10.1,33,19.9,6,7,2.5
,,25 to 54 years,2019,35.2,x,32.4,10.5,3.6,5.4,1.5,21.9,13.9,3.3,4.7,2.3
,,,2020,64.6,14,48.2,21.4,3.7,16.8,x,26.7,15.9,6.4,4.5,2.5
,,,2021,42.9,1.8,39.3,14.9,2.1,8.1,4.7,24.4,14.5,5.9,4.1,1.8
,,55 years and over,2019,12.1,x,11.3,6.1,x,3.8,x,5.2,3.1,x,1.9,x
,,,2020,20,5.7,13.4,8,1.7,5.6,x,5.4,2.9,x,2.3,x
,,,2021,20.4,x,19,10.4,1.5,3.5,5.3,8.6,5.4,x,2.9,x
,,55 to 64 years,2019,10.5,x,9.7,5.5,x,3.3,x,4.2,2.6,x,1.5,x
,,,2020,16.1,4.4,10.8,6.5,x,4.5,x,4.3,2.7,x,1.5,x
,,,2021,16.7,x,15.5,8.6,x,3,4.4,6.9,4.5,x,2.1,x
,,65 years and over,2019,1.6,x,1.6,x,x,x,x,x,x,x,x,x
,,,2020,3.9,x,2.6,1.5,x,x,x,x,x,x,x,x
,,,2021,3.7,x,3.5,1.8,x,x,x,1.7,x,x,x,x
